wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_609263_617507_1.wav,263852.0,609263.0,617507.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_617507_652463_0.wav,1118636.0,617507.0,652463.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_649186_657698_1.wav,272428.0,649186.0,657698.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_657698_667480_0.wav,313068.0,657698.0,667480.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_667480_702200_2.wav,1111084.0,667480.0,702200.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_702200_712369_1.wav,325452.0,702200.0,712369.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_712369_721999_0.wav,308204.0,712369.0,721999.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_721999_728839_1.wav,218924.0,721999.0,728839.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_728839_735393_0.wav,209772.0,728839.0,735393.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_735393_738403_1.wav,96364.0,735393.0,738403.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_738403_749070_0.wav,341388.0,738403.0,749070.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_749070_760543_1.wav,367180.0,749070.0,760543.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_760543_769779_0.wav,295596.0,760543.0,769779.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_766921_774723_1.wav,249708.0,766921.0,774723.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_774723_792490_2.wav,568588.0,774723.0,792490.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_792490_797614_1.wav,164012.0,792490.0,797614.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_798550_805643_2.wav,227020.0,798550.0,805643.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_805643_808242_0.wav,83212.0,805643.0,808242.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_808242_823566_2.wav,490412.0,808242.0,823566.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_823566_836266_0.wav,406444.0,823566.0,836266.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_836266_850912_2.wav,468716.0,836266.0,850912.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_850912_863117_1.wav,390604.0,850912.0,863117.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_863117_867522_0.wav,141004.0,863117.0,867522.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_867522_910651_1.wav,1380172.0,867522.0,910651.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_910651_913083_0.wav,77868.0,910651.0,913083.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_913083_939356_1.wav,840780.0,913083.0,939356.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_939356_941930_0.wav,82412.0,939356.0,941930.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_941930_944938_1.wav,96300.0,941930.0,944938.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_944938_951799_0.wav,219596.0,944938.0,951799.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_951799_967074_1.wav,488844.0,951799.0,967074.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_967074_988774_0.wav,694444.0,967074.0,988774.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_988774_1002960_1.wav,453996.0,988774.0,1002960.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1002960_1008286_0.wav,170476.0,1002960.0,1008286.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1008286_1029164_1.wav,668140.0,1008286.0,1029164.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1029164_1039371_0.wav,326668.0,1029164.0,1039371.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1039371_1050443_1.wav,354348.0,1039371.0,1050443.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1050443_1094259_0.wav,1402156.0,1050443.0,1094259.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1094259_1097436_1.wav,101708.0,1094259.0,1097436.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1097436_1101535_0.wav,131212.0,1097436.0,1101535.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1101535_1148850_1.wav,1514124.0,1101535.0,1148850.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1148850_1154854_0.wav,192172.0,1148850.0,1154854.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1154854_1159987_1.wav,164300.0,1154854.0,1159987.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1159987_1174555_0.wav,466220.0,1159987.0,1174555.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1174555_1176565_1.wav,64364.0,1174555.0,1176565.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1176565_1187000_0.wav,333964.0,1176565.0,1187000.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1187000_1197321_1.wav,330316.0,1187000.0,1197321.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1197321_1200498_0.wav,101708.0,1197321.0,1200498.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1200498_1205926_1.wav,173740.0,1200498.0,1205926.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1205926_1209729_0.wav,121740.0,1205926.0,1209729.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1209729_1240429_1.wav,982444.0,1209729.0,1240429.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1240429_1255003_0.wav,466412.0,1240429.0,1255003.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1255003_1257167_1.wav,69292.0,1255003.0,1257167.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1257167_1275665_2.wav,591980.0,1257167.0,1275665.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1275665_1279546_1.wav,124236.0,1275665.0,1279546.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1280301_1288444_2.wav,260620.0,1280301.0,1288444.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1288444_1290992_1.wav,81580.0,1288444.0,1290992.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1290992_1295577_0.wav,146764.0,1290992.0,1295577.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1295577_1310043_1.wav,462956.0,1295577.0,1310043.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1310043_1319466_0.wav,301580.0,1310043.0,1319466.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1319466_1323640_1.wav,133612.0,1319466.0,1323640.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1323640_1355698_0.wav,1025900.0,1323640.0,1355698.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1355698_1360473_1.wav,152844.0,1355698.0,1360473.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1360473_1380656_0.wav,645900.0,1360473.0,1380656.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1380656_1384549_1.wav,124620.0,1380656.0,1384549.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1384549_1395841_0.wav,361388.0,1384549.0,1395841.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1395841_1402858_1.wav,224588.0,1395841.0,1402858.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1402858_1410210_0.wav,235308.0,1402858.0,1410210.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1410210_1415807_1.wav,179148.0,1410210.0,1415807.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1413552_1433666_0.wav,643692.0,1413552.0,1433666.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1433666_1438365_1.wav,150412.0,1433666.0,1438365.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_1438365_1444600_0.wav,199564.0,1438365.0,1444600.0,0.0
