wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_432105_435179_1.wav,98412.0,432105.0,435179.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_435179_448313_0.wav,420332.0,435179.0,448313.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_448313_451925_1.wav,115628.0,448313.0,451925.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_451925_465227_2.wav,425708.0,451925.0,465227.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_455283_461754_1.wav,207116.0,455283.0,461754.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_466329_477222_0.wav,348620.0,466329.0,477222.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_477222_482038_1.wav,154156.0,477222.0,482038.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_482038_487533_0.wav,175884.0,482038.0,487533.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_487533_491378_2.wav,123084.0,487533.0,491378.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_491378_495604_4.wav,135276.0,491378.0,495604.0,4.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_495604_509061_3.wav,430668.0,495604.0,509061.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_509061_552129_0.wav,1378220.0,509061.0,552129.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_552129_556970_3.wav,154956.0,552129.0,556970.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_556970_572715_0.wav,503884.0,556970.0,572715.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_572715_585580_3.wav,411724.0,572715.0,585580.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_585580_588527_0.wav,94348.0,585580.0,588527.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_588527_593602_3.wav,162444.0,588527.0,593602.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_594486_633348_0.wav,1243628.0,594486.0,633348.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_633348_693014_3.wav,1909356.0,633348.0,693014.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_693014_704595_0.wav,370636.0,693014.0,704595.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_704595_712098_3.wav,240140.0,704595.0,712098.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_712098_763713_0.wav,1651724.0,712098.0,763713.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_763713_806376_2.wav,1365260.0,763713.0,806376.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_806376_812936_1.wav,209964.0,806376.0,812936.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_812936_820636_2.wav,246444.0,812936.0,820636.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_820636_829985_1.wav,299212.0,820636.0,829985.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_829985_836296_3.wav,201996.0,829985.0,836296.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_836296_840051_0.wav,120204.0,836296.0,840051.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_840051_844968_3.wav,157388.0,840051.0,844968.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_844968_848784_1.wav,122156.0,844968.0,848784.0,1.0
