wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1651489_1654242_0.wav,88140.0,1651489.0,1654242.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1654242_1664557_1.wav,330124.0,1654242.0,1664557.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1664557_1671077_0.wav,208684.0,1664557.0,1671077.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1671077_1719928_1.wav,1563276.0,1671077.0,1719928.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1719928_1790038_0.wav,2243564.0,1719928.0,1790038.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1790038_1792420_1.wav,76268.0,1790038.0,1792420.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1792420_1801202_0.wav,281068.0,1792420.0,1801202.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1801202_1806594_3.wav,172588.0,1801202.0,1806594.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1806594_1822319_0.wav,503244.0,1806594.0,1822319.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1822319_1828005_3.wav,181996.0,1822319.0,1828005.0,3.0
